instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,fix_localization_reasoning,entry_point_clarity,entry_point_clarity_reasoning,change_blast_radius,change_blast_radius_reasoning,environment_setup_complexity,environment_setup_complexity_reasoning,implementation_language_complexity,implementation_language_complexity_reasoning,testing_infrastructure_quality,testing_infrastructure_quality_reasoning,dependency_complexity,dependency_complexity_reasoning,codebase_scale,codebase_scale_reasoning
polyglot-rust-c,1,5,5,5,5,2,0,5,5,5,4,1,5,0,2,3,3,3,5,4,2026-03-07T23:26:04.507297,claude-opus-4-6,anthropic,polyglot-rust-c,5,"The task explicitly requests creating a single file at /app/polyglot/main.rs, so the likely solution is fully contained in one file.",5,The problem statement clearly identifies the exact target file and required command-line entry points for both rustc and g++.,1,"This is an isolated standalone file creation task in an otherwise empty workspace, with no existing components likely affected.",1,"The environment is minimal and ready to use: writable /app/polyglot directory, rustc and g++ available, no services or orchestration involved.",5,"Although the program is small, making one source file compile and run correctly as both Rust and C++ is a nontrivial multi-language polyglot challenge.",2,"There is no formal test suite, but validation is straightforward via the two explicit compile-and-run commands given in the prompt.",1,The task depends only on standard toolchains (rustc and g++) with no external libraries or package dependencies discovered.,1,"The workspace is essentially empty, with zero existing project files under /app before setup, so the relevant codebase is tiny."
crack-7z-hash,1,3,4,3,3,2,1,4,3,5,3,2,3,1,3,2,1,1,4,4,2026-03-07T23:25:49.084942,claude-opus-4-6,anthropic,crack-7z-hash,5,"The user task is operational rather than a code fix; the likely work is a single command sequence or one output file, with no need to modify project source.",5,"The problem statement is explicit: inspect secrets.7z, recover secret_file.txt content, and write it to /app/solution.txt.",1,"Any action is isolated to extracting/cracking one archive and creating one file, with essentially no downstream code impact.",3,"The environment includes a sizeable John the Ripper repo and a prebuilt binary, but common archive tools are absent and some helper-script dependencies are missing, so setup/tool discovery is non-trivial.",3,"The environment mixes shell usage with a large C codebase plus Perl/Python helper scripts; even if the task is mostly CLI automation, the available tooling spans multiple languages.",2,"There is some CI and test material in the john repo, but nothing directly validates this task beyond manually checking the produced solution file.",4,"The bundled project has many specialized dependencies and build components; for this task specifically, relevant helpers depend on non-installed Perl modules and specialized cracking/extraction support.",4,"The repo is large: about 2.6k files total and ~2.1k files under src alone, indicating a substantial codebase even though only a small part is likely relevant."
dna-assembly,2,4,5,4,5,4,0,4,3,4,5,1,4,0,2,5,5,4,5,4,2026-03-07T23:25:55.057170,claude-opus-4-6,anthropic,dna-assembly,4,"The task centers on a single FASTA input and producing one primer FASTA output; there is effectively one place to work, though primer design must consider all four templates together.",5,"The problem statement is explicit: read sequences.fasta, compare input/parts/output, and generate primers.fasta for Golden Gate assembly.",1,This is an isolated artifact-generation task rather than a code change; edits are unlikely to affect other components because the environment only contains the sequence file.,1,"The sandbox is extremely simple: one working directory with one FASTA file and no multi-service setup, build system, or project scaffolding.",2,"Solving would mainly require sequence manipulation and primer-design logic, likely via Python/shell plus external bioinformatics conventions, but no compiled or exotic stack is evident.",1,"No tests, README, harness, or validation scripts are present; even primer3/oligotm is not installed despite being referenced in the prompt.",2,"There are few visible project dependencies, but correct completion depends on domain-specific knowledge of BsaI Golden Gate design and externally specified primer3 melting-temperature behavior.",1,"The environment contains a single file (sequences.fasta), so the effective codebase/project footprint is tiny."
build-pov-ray,1,4,4,4,4,3,0,4,4,4,4,3,3,0,3,4,4,3,4,4,2026-03-07T23:25:51.480016,claude-opus-4-6,anthropic,build-pov-ray,5,The task is not a code fix at all; success is primarily a single build/install workflow centered on obtaining and compiling one upstream source tree.,5,"The problem statement is explicit: fetch POV-Ray 2.2 source, extract to /app/povray-2.2, build it, install /usr/local/bin/povray, and validate with the provided command.",1,Actions are isolated to installing one binary and unpacking one source tree; there is essentially no existing local codebase to impact.,3,"The workspace is minimal, but the task depends on network retrieval of very old archives and compiling 1994-era C code on a modern Ubuntu system, which adds moderate setup/build friction.",4,"The primary artifact is an old C codebase likely using legacy makefiles/build assumptions rather than a modern packaged build system, making compilation on current toolchains comparatively tricky.",2,There is no in-repo test suite; validation is via one documented smoke-test render command and an external image comparison by the harness.,2,"Likely few direct dependencies beyond standard C toolchain/system libraries, though age/version mismatch with modern compilers may matter more than dependency breadth.",1,The provided environment contains essentially no local project code besides a single .pov input file; only one upstream source package needs to be handled.
cobol-modernization,1,4,3,3,3,2,0,5,4,5,2,1,5,1,2,3,3,2,3,2,2026-03-07T23:25:48.974193,claude-opus-4-6,anthropic,cobol-modernization,5,"Task is highly localized: the user explicitly needs a new single file /app/program.py, and the behavior is fully defined by one source COBOL file plus fixed-width DAT files.",5,The problem statement points directly to /app/src/program.cbl as the authoritative logic and to /app/program.py as the implementation target; no search across the codebase is needed.,1,"Changes are isolated to producing one Python script that reads and rewrites three data files; there are no other modules, services, or shared libraries to affect.",2,"Environment is simple and self-contained under /app, with only GnuCOBOL and Python involved. There is a small wrinkle that the COBOL program must be run from /app with relative paths, but no multi-service setup exists.",2,"Reimplementation target is Python, and the source logic is straightforward fixed-width file parsing/updating. There is some moderate complexity from mimicking COBOL sequential-file semantics and numeric field formatting exactly.",2,"There is no formal test suite, but validation is still possible by compiling/running the COBOL program with cobc and comparing resulting DAT files byte-for-byte against Python output, giving a workable manual oracle.",1,There are effectively no project dependencies beyond the standard Python runtime and installed GnuCOBOL executable; no package manifests or third-party libraries are present.,1,"The codebase is tiny: five files total, centered on a single ~160-line COBOL program and a few small fixed-width data files."
fix-ocaml-gc,1,3,5,4,5,3,0,3,4,4,4,1,3,0,2,2,2,1,4,4,2026-03-07T23:25:56.422434,claude-opus-4-6,anthropic,fix-ocaml-gc,4,"The likely fix is localized to runtime/shared_heap.c in the major-heap sweeping/free-list compression logic; adjacent runtime GC code may need inspection, but the change appears confined to one closely related file.",4,"The problem statement points directly at OCaml GC sweeping changes, and the bootstrap crash strongly suggests runtime/shared_heap.c or major GC code as the entry area.",4,"Although the edit is small, it sits in core GC/runtime code used by the whole compiler, so mistakes ripple broadly across bootstrapping and test execution.",3,"The build is a conventional configure+make workflow, but bootstrapping the compiler and running the testsuite involves multiple stages and generated tools.",4,"The likely solution is in low-level C runtime/GC code with custom memory-layout invariants and concurrent/atomic interactions, which is substantially harder than ordinary scripting or Python.",4,"The repository has a mature testsuite with a clear command to run basic tests and strong pass/fail signaling, though full bootstrap/build feedback is slower than unit tests.",3,"Dependencies are moderate: mostly system compiler/toolchain requirements plus optional libraries, without especially exotic external package management for the core task.",4,"This is a large compiler/runtime repository with thousands of files (~4.6k files observed) and many subsystems, even if the relevant area is narrower."
write-compressor,1,4,5,5,5,3,0,5,5,5,5,2,5,0,2,4,3,2,5,4,2026-03-07T23:26:15.631395,claude-opus-4-6,anthropic,write-compressor,5,"The task centers on a single small C source file, /app/decomp.c, and producing one output artifact; behavior is contained in one program.",5,"The prompt explicitly identifies the relevant program and file (/app/decomp.c), so the entry point is immediately clear.",1,Any investigation or modification would be isolated to this standalone decompressor with no broader project dependencies or interconnected modules.,1,"The environment is extremely simple: one compiled binary, one C file, one data file, and standard stdin/stdout usage with no services or setup steps.",2,The implementation is plain C with compact arithmetic-coding style logic; language/tooling is straightforward but lower-level than simple scripting.,2,"There is no formal test suite, but validation is easy and unambiguous by piping a candidate compressed file into /app/decomp and comparing against /app/data.txt.",1,The binary depends only on libc and the source uses standard headers with no external packages or build-time dependency graph.,1,"The entire workspace contains only three files, with the core source around 1.2 KB, so the codebase is tiny."
rstan-to-pystan,2,4,4,4,4,4,0,4,4,5,4,2,4,0,3,4,4,3,5,5,2026-03-07T23:26:07.717297,claude-opus-4-6,anthropic,rstan-to-pystan,5,Task is contained to creating one new Python script; no multi-file codebase edits are needed.,5,"Problem statement explicitly names the source R script, required target script, input files, and output files.",1,Work is isolated to a standalone conversion script and generated CSV outputs with essentially no downstream code coupling.,3,"Environment is small, but required extra setup includes installing PyStan and a C/C++ toolchain before Stan models can compile and sample.",3,"Primary work is Python, but it involves translating a nontrivial Stan GP model and mapping RStan sampling settings to PyStan 3 semantics.",2,There is no formal test suite; validation comes from running the script and checking required output artifacts and posterior summaries.,4,"PyStan/httpstan brings a fairly heavy dependency stack plus native compilation requirements, though the project itself has few data/code dependencies.",1,"The environment is tiny: one R script, a few CSV/JSON files, and no larger application structure."
protein-assembly,2,4,5,4,5,4,0,5,3,4,5,3,3,0,2,4,4,3,5,4,2026-03-07T23:26:07.554119,claude-opus-4-6,anthropic,protein-assembly,5,"There is effectively no codebase to modify; the task centers on producing one output file (/app/gblock.txt), so the actionable work is localized to a single artifact.",5,"The problem statement is extremely explicit about the required output file, component order, sequence constraints, and source files to consult, so the entry point is obvious.",1,"Any work is isolated to generating a single sequence file, with no application modules, services, or shared libraries that could be impacted downstream.",1,"The environment is just three input files in one directory with standard shell/Python available; there are no services, build steps, or orchestration layers present.",2,"This is mainly a data-wrangling/sequence-design task using simple scripting and command-line tools, though it may require some API interaction and bioinformatics reasoning.",1,"No tests, harness, or validator files are present in the workspace; verification would rely on manual checking against the textual constraints.",2,"Local dependencies are minimal, but the task references external biological data sources/APIs (RCSB and FPbase), adding some moderate external-data dependency without a heavy package stack.",1,"The workspace contains only three small files and no source tree, making it far smaller than even a typical small software project."
path-tracing,1,3,5,5,5,4,0,4,5,4,4,1,3,0,2,4,4,4,5,2,2026-03-07T23:26:06.196106,claude-opus-4-6,anthropic,path-tracing,5,Likely solution is a single C file (image.c) with one main rendering routine; no broader codebase modifications are involved.,5,"The prompt names the exact artifact to create (image.c) and output file (reconstructed.ppm), so the implementation entry point is explicit.",1,This is an isolated standalone program with no existing source tree to integrate into; changes affect only the generated file.,1,"Very simple sandbox: only /app/image.ppm and a reference binary exist, and validation is via gcc -static -o image image.c -lm && ./image.",4,"Although only C is needed, matching a rendered image under a compressed-size constraint implies compact graphics/math code and possibly reverse-engineering a raytraced scene.",2,"There is a clear compile/run contract and similarity metric, but no bundled test harness or local scorer beyond inspecting the target image/reference binary.",1,The required solution can rely on standard C and libm only; there are no project-managed external dependencies.,1,"The environment is tiny: effectively two files total, with no real source code tree to navigate."
large-scale-text-editing,1,5,4,4,4,3,0,5,5,5,3,1,5,1,2,5,4,4,4,3,2026-03-07T23:25:58.289383,claude-opus-4-6,anthropic,large-scale-text-editing,5,The task is solved entirely by creating one Vim macro script file (/app/apply_macros.vim); the transformation itself is expressible as a single line-wise text rewrite.,5,"The prompt precisely states the inputs, output file, execution method, and constraints on allowed commands/macros, so the work location and mechanism are explicit.",1,Changes are isolated to generating the output script; there is no broader application code or shared subsystem affected.,1,"The environment is a minimal sandbox with two CSV files and Vim already installed; no services, build steps, or configuration are needed beyond running headless Vim.",2,"The solution uses basic Vim normal-mode macros and simple Ex substitution commands, which is more specialized than plain shell but still lightweight and single-tool.",4,"Validation is clear and objective: run Vim headlessly, require exit code 0, and compare input.csv to expected.csv byte-for-byte. The pass/fail signal is strong even if no rich unit-test suite exists.",1,There are effectively no project dependencies beyond the system-provided Vim binary and the two CSV files; no external packages or version-sensitive libraries are involved.,1,"This is not a conventional codebase: /app contains only two data files, so the searchable surface area is tiny despite the large row count of the dataset."
train-fasttext,1,3,3,3,2,3,1,4,3,4,3,2,3,1,3,3,4,2,3,3,2026-03-07T23:26:15.469773,claude-opus-4-6,anthropic,train-fasttext,5,"There is no existing application code; the task is essentially a single training script/workflow that writes /app/model.bin, so the likely solution is contained in one script/function path.",5,"The user request is explicit: train on parquet files in data/ and save /app/model.bin under clear size/accuracy constraints, with obvious data files and no ambiguous entry point.",1,Any work is isolated to producing the model artifact; there are no visible modules or shared components whose behavior would ripple through a larger codebase.,2,"The environment is very small and already contains the parquet datasets plus Python/pip, but fasttext is not preinstalled and may need installation/compilation, adding minor setup complexity.",2,"The likely solution is straightforward Python scripting around fastText training and parquet preprocessing; despite a compiled dependency, the task itself is not in a complex language stack.",1,"There are no tests, harness files, or validation scripts visible; success is defined only by hidden private-set accuracy and model size, so feedback is minimal.",2,"Visible dependencies are light: pandas/pyarrow are available, and fasttext is the main missing external package. The dependency tree appears small and standard.",1,"The workspace contains only two dataset files and no substantive source tree, making this effectively a tiny task environment rather than a real codebase."
multi-source-data-merger,3,5,3,3,2,2,1,5,4,5,2,1,4,1,2,3,3,2,3,2,2026-03-07T23:26:03.360281,claude-opus-4-6,anthropic,multi-source-data-merger,5,"The task appears solvable in a single script or function that reads three files, normalizes schemas, merges by user_id, and writes two outputs; there is no existing multi-file codebase to modify.",5,"The prompt precisely specifies the input paths, output paths, field mappings, merge key, priority order, and report format, so the implementation entry point is explicit.",1,This is an isolated data-processing task with no visible surrounding application components; changes should only affect the produced output files.,1,"The environment is minimal and ready to use: just /data inputs and an empty /app output directory, with no services, build steps, or orchestration.",2,"A straightforward Python data-wrangling solution is likely, using pandas/pyarrow and basic JSON/CSV/Parquet handling plus simple conflict tracking.",1,"No test suite, harness files, or validation scripts are present in the workspace, so correctness must be inferred from the prompt and manual inspection.",2,"Only a small, standard dependency set seems needed; pandas and pyarrow are available, and the formats involved are common and well-supported.",1,There is effectively no existing codebase to navigate—only three small input files and an empty output directory.
regex-chess,0,4,5,5,5,4,0,5,5,5,5,1,5,0,1,4,4,4,5,2,2026-03-07T23:26:10.548216,claude-opus-4-6,anthropic,regex-chess,5,The task centers on creating a single /app/re.json artifact; there is no broader codebase to modify.,5,The prompt and check.py explicitly define the execution entry point via run_solution() loading /app/re.json and applying regex substitutions.,1,Changes are isolated to one generated JSON file and do not affect other modules or shared infrastructure.,1,The environment is extremely simple: a single Python checker file in /app with no build step or service orchestration.,4,"Although runtime is Python, the required solution is an unconventional regex-rewrite program that must encode full chess move generation semantics, making the effective implementation model quite complex.",4,"check.py provides a clear executable unittest harness and compares outputs against python-chess legal move generation, giving strong pass/fail validation.",2,Dependencies are few and well-known: Python stdlib plus python-chess for validation.,1,The codebase is tiny: essentially one checker file and the expected generated re.json output file.
schemelike-metacircular-eval,1,4,5,5,4,4,1,4,5,5,4,1,5,0,2,5,4,4,5,2,2026-03-07T23:26:11.751979,claude-opus-4-6,anthropic,schemelike-metacircular-eval,4,"The task is likely implemented almost entirely in a single new file, eval.scm, with behavior guided by interp.py’s existing language features rather than requiring broad codebase edits.",5,"The problem statement clearly names the required artifact (eval.scm) and its interface: read one path from STDIN, interpret that file, and forward remaining I/O.",1,Changes are isolated to the metacircular evaluator file; no shared Python runtime or multi-module subsystem appears to need modification.,1,"The environment is a very small single-directory project with one Python interpreter file and a test directory, runnable directly with python3 without extra services or build steps.",3,"Although the host interpreter is Python, the actual solution must be written in a Scheme-like language and implement a self-interpreter with parsing, environments, evaluation, and I/O forwarding, which is moderately challenging.",2,"There is a large collection of example .scm programs under test/, but no formal automated harness or explicit pass/fail test runner was found beyond invoking interp.py manually.",1,"The project uses only standard Python with no external packages, lockfiles, or system-level dependencies visible.",1,"The codebase is tiny: roughly 34 files total, one ~586-line interp.py, and about 32 Scheme test programs totaling under 2K lines."
sanitize-git-repo,2,4,2,3,2,3,1,4,3,4,3,3,4,1,3,4,3,3,3,2,2026-03-07T23:26:10.973781,claude-opus-4-6,anthropic,sanitize-git-repo,4,"Sensitive data appears localized to 1-2 closely related files in ray_processing (process.py and ray_cluster.yaml), so sanitization likely stays there.",5,Problem manifestation is very clear from the prompt and grep results; exact contaminated files and lines are directly identifiable.,1,Replacing hardcoded credentials with placeholders is isolated text editing with little downstream behavioral impact beyond config examples.,3,"Repository includes multiple subsystems (ray processing, training, rust processing, eval) and AWS/Ray configs, but inspection does not require exotic setup.",3,"Main stack is Python plus YAML/shell and a small Rust component, implying moderate complexity but not a highly specialized toolchain for this task.",3,"Pytest-based tests exist in a dedicated tests/ tree with around 30 files, but they seem focused on baselines rather than secret sanitization specifically.",4,"The project depends on many packages including boto3, transformers, fasttext, kenlm, llm-foundry, s3fs, and a git dependency on open_lm, making dependencies fairly heavy and version-sensitive.",3,"At roughly 564 files with dozens of Python/YAML files and several subsystems, the codebase is medium-sized."
fix-git,1,3,3,3,3,2,1,2,2,3,3,1,2,1,2,2,3,1,3,2,2026-03-07T23:25:55.155163,claude-opus-4-6,anthropic,fix-git,4,The recovered change was confined to two closely related content/template files (`_includes/about.md` and `_layouts/default.html`).,5,"The user's issue clearly pointed to missing git changes after checkout, and `git reflog` immediately exposed the lost commit.",2,The change affected a small personal-site surface area with minimal coupling beyond page rendering.,1,This is a simple single-repo static site with git available and no multi-service or special setup needed for recovery.,2,"The relevant work involved git operations plus simple HTML/Markdown/Jekyll content files, with only light Python present elsewhere.",2,There was no obvious formal test suite for the recovery task; validation relied mainly on git history/status and inspecting diffs.,2,"Dependencies appear light, centered on a basic Jekyll/GitHub Pages site with a small Python helper and no heavy system deps.",2,"The repository is small, around 116 files, and straightforward to inspect."
configure-git-webserver,2,4,4,3,2,4,1,4,5,5,3,3,4,1,4,3,3,1,4,4,2026-03-07T23:25:49.246761,claude-opus-4-6,anthropic,configure-git-webserver,1,No codebase is present in the workspace; completing the task would require creating and wiring multiple pieces of infrastructure from scratch rather than editing a localized function or file.,2,"The problem statement clearly describes the desired end-to-end behavior, but there is no existing project structure, script, or service entry point to modify.",4,"A working solution would need to coordinate git hosting, push hooks or deployment logic, and a web server, so changes span several coupled components.",4,"The environment is not ready out of the box: the working directory is empty and common tools needed for the task such as git, sshd, docker, and web servers are absent.",2,The likely solution is mostly shell/system configuration plus possibly a small script; no evidence of a compiled or multi-language application stack.,1,"There are no tests, fixtures, or validation scripts in the environment; verification would have to be done manually with git push and curl behavior.",2,"The task depends mainly on standard system utilities and services, but the required packages are not installed and there is no complex application dependency manifest.",1,There is effectively no codebase to inspect in /app: zero project files and no repository structure were found.
git-leak-recovery,2,4,3,3,2,3,1,4,4,5,3,1,4,1,2,5,4,4,3,2,2026-03-07T23:25:55.638691,claude-opus-4-6,anthropic,git-leak-recovery,4,Task is confined to a single Git repo and primarily involves Git object/history cleanup plus restoring one file outside the repo.,5,"Problem statement clearly points to /app/repo, says the secret was removed by rewriting history, and gives the exact target format secret[...] for searching.",2,Changes are isolated to repository history cleanup and writing /app/secret.txt; working tree and unrelated commit messages/files can remain untouched.,1,"Very small single-repo sandbox with standard Git commands; no services, builds, or extra setup required.",1,This is a pure terminal/Git forensics task with simple shell usage and no application language implementation needed.,2,"There is no formal test suite, but validation is straightforward via git fsck, grep for secret[...], git log, and file existence checks.",1,Depends only on standard Git tooling and basic shell utilities; no external package ecosystem is involved.,1,"The repository is tiny, with essentially one tracked file and only a couple of visible commits plus one unreachable commit/object set."
circuit-fibsqrt,1,4,5,5,5,3,0,5,4,5,5,1,4,0,2,4,4,4,5,3,2026-03-07T23:25:49.747473,claude-opus-4-6,anthropic,circuit-fibsqrt,4,"The task artifact to create is clearly a single /app/gates.txt file, with behavior driven by the existing simulator rather than code changes across the codebase.",5,The problem statement explicitly names /app/sim.c and requires creating /app/gates.txt; the manifesting behavior is directly tied to simulator input/output and that one gate file.,1,"Changes are isolated to the gate-description file used by the simulator, with essentially no downstream impact on other components because the environment only contains sim.c and gates.txt.",1,"The environment is minimal: a single C file and a text file in /app, compilable with gcc and no multi-service setup, external tooling, or configuration layers.",3,"Although the host program is plain C, the real task is to encode a nontrivial algorithm in a custom logic-gate DSL with synchronous/event-driven update semantics, making the implementation model moderately complex.",2,"There is no formal test suite, but validation is still straightforward by compiling sim.c and running the produced binary on sample inputs for clear numeric output checks.",1,"There are effectively no project dependencies beyond a standard C compiler; no libraries, package managers, or system-level dependency graph are present.",1,"The codebase is tiny: only two files in /app, about 353 lines of C plus a short gates file, so the amount of code to inspect is very small."
regex-log,2,4,3,4,3,3,0,5,5,5,4,1,5,1,1,4,3,4,4,1,2026-03-07T23:26:09.217743,claude-opus-4-6,anthropic,regex-log,5,"The task is to write a single regex and save it in one file (/app/regex.txt), so the solution is fully localized.",5,"The prompt explicitly states the required output file, matching target, constraints, and Python usage, making the entry point completely clear.",1,Only one standalone regex file is involved; there are essentially no coupled components or downstream code changes.,1,"The environment is an almost empty /app directory with Python available and no visible services, build steps, or configuration requirements.",2,"The main challenge is a moderately tricky Python-compatible regular expression, but no compiled languages or complex frameworks are involved.",1,"No tests, fixtures, or validation scripts are present in the workspace, so verification appears to rely on external evaluation only.",1,There is no project dependency manifest and the task depends only on Python's built-in re module semantics.,1,"There is effectively no codebase in /app beyond the expected output artifact, so the scale is minimal."
custom-memory-heap-crash,1,4,5,5,5,3,0,4,5,4,5,3,3,0,2,4,3,4,4,4,2026-03-07T23:25:49.498609,claude-opus-4-6,anthropic,custom-memory-heap-crash,5,"The task statement explicitly restricts changes to /app/user.cpp, and the app itself is only three source files. The likely workaround/fix is fully localized to that single user file.",5,"The problem statement clearly says the crash happens only in release mode and only /app/user.cpp may be edited. main.cpp is short and easy to inspect, so the manifestation point is very clear.",1,Any intended fix is isolated to user.cpp and should not require touching shared project code. The rest of the program and bundled libstdc++ sources are effectively read-only context.,3,"Compilation is straightforward, but the environment includes two custom libstdc++ builds, special link flags, Valgrind requirements, and a large /build compiler source tree for context, making it more than a simple single-binary setup.",4,"The runtime issue involves C++17, custom global new/delete behavior, static destruction order, optimization-dependent behavior, and interaction with a modified libstdc++, which is substantially trickier than ordinary scripting tasks.",2,"There is no formal unit-test harness in /app, but compilation commands are given explicitly and the program has a clear reproduce/verify loop via release vs debug execution and Valgrind.",4,"The task depends on custom release/debug libstdc++ installations, static linking choices, libc/libm interaction, and knowledge of modified compiler-library behavior from patches in /build.",4,"The editable target is tiny, but the relevant environment includes the full GCC/libstdc++ source tree in /build with over 124k files, so understanding the root cause can involve a large surrounding codebase."
sparql-university,2,4,4,4,3,3,0,5,5,5,3,1,5,1,1,4,4,3,4,2,2026-03-07T23:26:11.509938,claude-opus-4-6,anthropic,sparql-university,5,The task is isolated to writing a single SPARQL query in one file (/app/solution.sparql); no code changes across the dataset or multiple modules are needed.,5,"The problem statement precisely specifies the artifact to create, the required SELECT shape, the data file location, and the filtering conditions.",1,Any work is confined to a standalone query file with no downstream code components or shared application logic affected.,1,"The environment is a minimal single-file data task in /app with no services, builds, or orchestration discovered.",2,The main challenge is SPARQL over a small Turtle graph; this is more specialized than plain shell but still a relatively simple declarative query task.,1,"No test harness, scripts, or validation tooling were present; verification appears to rely on manually running the query against the TTL data.",1,There are effectively no project dependencies beyond the RDF/Turtle dataset itself; no package manifests or external libraries were found in the workspace.,1,"The workspace contains a single small Turtle file (~305 lines, one file total), so the effective codebase/task surface is tiny."
compile-compcert,2,4,4,3,3,3,1,4,3,5,3,3,4,1,3,5,4,4,4,4,2026-03-07T23:25:49.227452,claude-opus-4-6,anthropic,compile-compcert,1,"The task is not a code fix but a full source build/install request; if any issue arose it would likely involve build scripts, toolchain setup, and generated artifacts across multiple areas rather than a localized function change.",5,The problem statement is explicit: build CompCert 3.13.1 under /tmp/CompCert for the host OS/ISA and expose it as /tmp/CompCert/ccomp.,4,"A successful outcome depends on system toolchain availability, compiler configuration, build outputs, and executable placement, so changes or setup steps can affect much of the build environment.",5,"The environment appears highly incomplete for the requested task: /tmp/CompCert is absent, /app is empty, and required build tools for CompCert such as OCaml are not installed.",4,"CompCert is primarily an OCaml-based verified compiler with nontrivial build/configuration steps and architecture-specific setup, which is more complex than simple scripting.",2,No project-local tests or validation harness were found because the source tree itself is missing; validation would rely mainly on build success and invoking ccomp if the source were present.,5,"CompCert depends on an OCaml toolchain and related build dependencies; in this environment even basic prerequisites and source assets are missing, indicating substantial dependency/setup burden.",3,"The actual CompCert codebase is a medium-sized compiler project, but it is not present in the environment, so the accessible local codebase for auditing is effectively absent while the intended target remains moderately large."
build-pmars,2,4,3,3,3,2,0,4,4,4,3,2,4,1,3,4,3,3,3,3,2026-03-07T23:25:48.556386,claude-opus-4-6,anthropic,build-pmars,4,"Task is primarily a build/install workflow centered on obtaining Debian source, configuring a no-X11 build, and installing one binary; likely limited to 1-2 build/config files or commands rather than broad code edits.",5,The problem statement is explicit: build pMARS from Debian source without X11 and install /usr/local/bin/pmars; verification command and constraints clearly identify the target artifact.,2,Changes are mostly isolated to build configuration and installation of pmars; little evidence that modifications would affect unrelated components in the environment.,3,"Debian build environment is straightforward but requires package/source retrieval, enabling or otherwise accessing Debian source packages, and ensuring a headless no-X11 build path.",4,Primary implementation appears to be C with traditional Unix build tooling; compiled-language builds and optional X11/curses features are more complex than simple scripting.,3,"There is a clear manual validation command and packaged example warriors, giving direct pass/fail feedback, but no visible comprehensive automated test suite in the task workspace.",3,Binary package metadata shows a small dependency set but includes optional graphical linkage to X11 in the packaged build; rebuilding without X11 requires some dependency/build-option awareness.,1,"The visible task workspace is tiny, with only two provided Redcode example files and no large local repository present; source package itself is likely small/legacy by package size and docs."
log-summary-date-ranges,3,5,2,3,2,2,1,5,4,5,2,1,5,1,2,4,3,1,3,1,2026-03-07T23:26:00.213175,claude-opus-4-6,anthropic,log-summary-date-ranges,5,Task is accomplished with a single output file generation step; no multi-file code changes are needed.,5,"The prompt clearly specifies the input directory, filename pattern, date reference, required severities, and exact CSV output path/format.",1,"Work is isolated to reading log files and writing /app/summary.csv, with no downstream components or shared code affected.",1,"Very simple sandbox: one /app/logs directory of flat files, no services, builds, or configuration required.",1,Can be solved with basic shell or simple Python text processing; no complex language features or toolchains involved.,2,"There is no formal test suite, but the task has explicit deterministic output that is easy to verify manually by inspecting the generated CSV.",1,No external libraries or system dependencies are needed beyond standard shell/Python file processing.,1,This is a tiny environment with 164 log files and essentially no surrounding codebase or module structure to navigate.
code-from-image,1,2,4,4,5,2,0,4,2,4,4,1,2,0,2,3,2,1,4,3,2026-03-07T23:25:46.935842,claude-opus-4-6,anthropic,code-from-image,5,Task is a single-step script/output generation with no multi-file codebase; likely solvable in one file/function.,5,Problem statement clearly points to /app/code.png and /app/output.txt as the relevant artifacts.,1,"Any implementation is isolated to a standalone script or direct file write, with no downstream components.",1,"Sandbox contains essentially one image file and Python; no services, build steps, or configuration required.",2,Primary work is simple scripting and image/pseudocode interpretation rather than complex compiled-language development.,1,No explicit tests or validation harness are present beyond the output file requirement and a prefix hint.,1,No project dependencies are visible; task can be done with basic shell/Python and standard facilities.,1,There is no meaningful codebase to navigate—just a single provided image asset.
qemu-alpine-ssh,2,4,4,3,3,4,1,5,4,5,4,3,4,1,3,2,2,1,4,4,2026-03-07T23:26:09.409230,claude-opus-4-6,anthropic,qemu-alpine-ssh,5,Environment only has an ISO and qcow2 image; accomplishing the task is operationally contained to starting/configuring a single VM session rather than editing many files.,5,The user request directly specifies the entry point and success condition: boot /app/alpine.iso in QEMU and expose SSH on localhost:2222 for root/password123.,1,"Changes are isolated to VM runtime configuration and guest setup, with essentially no broader codebase impact.",4,"Requires QEMU boot orchestration, serial/console interaction, guest network forwarding, and in-guest SSH setup from a live Alpine ISO.",2,"This is primarily shell/QEMU automation with simple Linux administration, not a complex multi-language software stack.",2,Validation is manual but clear: attempt ssh to localhost:2222. There is no explicit automated test suite or harness in the workspace.,3,"Depends on QEMU and guest-side Alpine packages/services like OpenSSH, but the dependency surface is limited and standard.",1,There is effectively no application codebase here—just two artifacts (ISO and qcow2 image).
